cycle,x_in,y_out
0,10035,0
1,9999,0
2,10023,0
3,10033,0
4,9962,0
5,10032,501
6,10036,1503
7,10047,3006
8,10048,5010
9,10041,7011
10,10029,8512
11,9992,9513
12,9955,10014
13,10047,10018
14,9988,10026
15,9985,10032
16,10004,10034
17,9999,10031
18,10027,10024
19,10042,10014
20,9995,10005
21,9964,10001
22,9976,9999
23,10049,9998
24,10013,10003
25,9952,10007
26,9972,10007
27,9957,10007
28,10033,10006
29,9998,10002
30,9988,9999
31,9962,9996
32,9966,9992
33,10010,9989
34,10002,9987
35,9982,9986
36,10024,9986
37,10040,9987
38,10027,9987
39,10007,9986
40,9965,9986
41,9978,9987
42,10039,9994
43,10006,10001
44,9967,10009
45,10015,10013
46,9961,10011
47,9982,10008
48,9975,10004
49,9982,9999
50,10038,9998
51,10026,9997
52,9979,9993
53,9981,9991
54,9957,9986
55,10004,9984
56,10047,9987
57,9977,9992
58,10012,9997
59,10008,9999
60,10041,9996
61,9951,9995
62,9961,9993
63,10037,9993
64,10011,9998
65,10023,10004
66,9994,10005
67,10001,10004
68,10024,10002
69,10038,9998
70,10020,9997
71,9951,10000
72,9976,10003
73,9996,10006
74,9968,10011
75,10017,10013
76,9950,10012
77,10038,10010
78,9950,10005
79,10009,9996
80,9983,9990
81,10001,9985
82,10008,9984
83,10050,9985
84,9988,9988
85,9974,9989
86,10008,9989
87,9988,9991
88,10025,9995
89,9965,10000
90,10020,10002
91,10029,10006
92,9989,10004
93,9977,10002
94,10033,9998
95,9963,9997
96,9959,9998
97,10002,10001
98,10042,10002
99,10031,10004
100,0,10002
101,0,9997
102,0,9994
103,0,9992
104,0,9992
105,0,9498
106,0,8505
107,0,7008
108,0,5010
109,0,3008
